eventname,datetime
FRB20201124A,2021-05-22 21:08:52.282153
FRB20201124A,2021-05-27 20:44:49.536276
FRB20201124A,2021-09-21 13:07:09.789051
FRB20201124A,2020-11-24 08:50:41.885952
FRB20201124A,2020-11-24 08:54:45.868615
FRB20201124A,2021-03-27 00:46:22.270451
FRB20201124A,2021-03-27 00:53:10.546624
FRB20201124A,2021-03-27 00:53:10.696046
FRB20201124A,2021-03-31 00:33:06.519122
FRB20201124A,2021-03-31 00:37:18.759321
FRB20201124A,2021-03-31 00:38:34.948853
FRB20201124A,2021-03-31 00:39:18.296983
FRB20201124A,2021-04-05 00:13:36.932536
FRB20201124A,2021-04-05 00:13:36.649418
FRB20201124A,2021-04-11 23:43:24.247081
FRB20201124A,2021-04-11 23:49:52.854589
FRB20201124A,2021-05-25 20:53:21.898690
FRB20201124A,2021-05-25 20:53:24.478187
FRB20201124A,2021-05-26 20:45:38.689259
FRB20201124A,2021-05-26 20:49:27.163484
FRB20201130A,2020-11-30 07:39:23.611328
FRB20201130A,2020-12-25 05:59:01.965785
FRB20201130A,2021-01-05 05:15:35.947389
FRB20201130A,2021-01-14 04:42:32.289651
FRB20201130A,2021-01-17 04:28:01.085196
FRB20201130A,2021-01-18 04:25:18.851156
FRB20201130A,2021-02-05 03:18:50.515118
FRB20201130A,2021-02-20 02:18:18.776962
FRB20201130A,2021-02-28 01:39:30.914649
FRB20201130A,2021-03-23 00:15:35.448875
FRB20201130A,2021-03-27 00:00:27.902471
FRB20201130A,2021-04-06 23:11:08.614779
FRB20201221B,2020-12-21 10:11:38.666831
FRB20201221B,2021-02-24 05:59:05.425771
FRB20201221B,2021-02-26 05:40:44.993103
FRB20201221B,2021-03-02 05:48:38.342592
FRB20201221B,2021-03-03 05:33:28.156667
FRB20201221B,2021-03-13 04:51:02.513638
FRB20210323C,2021-03-23 03:55:30.826252
FRB20210323C,2021-03-31 03:32:44.451714
FRB20210323C,2021-04-26 02:12:14.636943
FRB20210323C,2021-05-05 01:21:15.061586
FRB20210323C,2023-03-30 03:53:34.779212
FRB20210323C,2023-06-05 23:24:14.848035
FRB20220912A,2022-09-11 07:35:20.469283
FRB20220912A,2022-09-12 07:45:50.573345
FRB20220912A,2022-09-15 07:31:38.597155
FRB20220912A,2022-10-12 05:50:53.711995
FRB20220912A,2022-10-13 05:40:48.905482
FRB20220912A,2022-10-14 05:38:29.131939
FRB20220912A,2022-10-15 05:33:34.918881
FRB20220912A,2022-10-18 05:26:30.030315
FRB20220912A,2022-10-20 05:23:14.433671
FRB20220912A,2022-10-21 05:07:29.149286
FRB20220912A,2022-10-22 05:11:14.649817
FRB20220912A,2022-10-23 04:58:49.480921
FRB20220912A,2022-10-25 04:54:08.848560
FRB20220912A,2022-10-30 04:28:48.222323
FRB20220912A,2022-10-31 04:30:21.222412
FRB20220912A,2022-11-01 04:24:44.282506
FRB20220912A,2022-11-02 04:25:22.234731
FRB20220912A,2022-11-03 04:13:39.021982
FRB20220912A,2022-11-04 04:14:34.621742
FRB20220912A,2022-11-06 04:00:07.830151
FRB20220912A,2022-11-07 04:01:47.352140
FRB20220912A,2022-11-08 03:57:07.279129
FRB20220912A,2022-11-09 03:45:23.901230
FRB20220912A,2022-11-11 03:45:13.612733
FRB20220912A,2022-11-12 03:33:59.490101
FRB20220912A,2022-11-13 03:34:15.854768
FRB20220912A,2022-11-14 03:33:46.236759
FRB20220912A,2022-11-15 03:37:33.852789
FRB20220912A,2022-11-16 03:26:17.826995
FRB20220912A,2022-11-17 03:24:16.880507
FRB20220912A,2022-11-18 03:19:57.600757
FRB20220912A,2022-11-19 03:18:14.042409
FRB20220912A,2022-11-29 02:32:25.295452
FRB20220912A,2022-11-30 02:32:18.908641
FRB20220912A,2022-12-01 02:26:25.673858
FRB20220912A,2022-12-02 02:18:23.236167
FRB20220912A,2022-12-03 02:15:49.322578
FRB20220912A,2022-12-04 02:14:33.226434
FRB20220912A,2022-12-05 02:08:10.618416
FRB20220912A,2022-12-06 02:05:55.500551
FRB20220912A,2022-12-07 02:06:58.366945
FRB20220912A,2022-12-08 02:11:33.239675
FRB20220912A,2022-12-10 01:48:55.226931
FRB20220912A,2022-12-11 01:46:48.138534
FRB20220912A,2022-12-12 01:39:08.492021
FRB20220912A,2022-12-13 01:40:36.933184
FRB20220912A,2022-12-14 01:37:05.287621
FRB20220912A,2022-12-15 01:24:52.166863
FRB20220912A,2022-12-16 01:28:14.333954
FRB20220912A,2022-12-17 01:26:09.589127
FRB20220912A,2022-12-18 01:15:53.780428
FRB20220912A,2022-12-19 01:14:58.493278
FRB20220912A,2022-12-20 01:14:29.299939
FRB20220912A,2022-12-21 01:08:11.638581
FRB20220912A,2022-12-22 01:01:34.532216
FRB20220912A,2022-12-23 00:54:59.789555
FRB20220912A,2022-12-24 00:54:14.553003
FRB20220912A,2022-12-26 00:47:59.894832
FRB20220912A,2022-12-27 00:44:27.714496
FRB20220912A,2022-12-30 00:27:05.814973
FRB20220912A,2023-01-01 00:31:22.480821
FRB20220912A,2023-01-02 00:22:11.387612
FRB20220912A,2023-01-04 00:19:55.427284
FRB20220912A,2023-01-05 00:18:27.802045
FRB20220912A,2023-01-06 00:01:30.566999
FRB20220912A,2023-01-07 00:06:13.005207
FRB20220912A,2023-02-01 22:25:57.482634
FRB20220912A,2023-02-02 22:22:36.257298
FRB20220912A,2023-02-03 22:10:21.359203
FRB20220912A,2023-02-10 21:49:46.127173
FRB20220912A,2023-02-14 21:27:46.945543
FRB20220912A,2023-02-16 21:17:34.674811
FRB20220912A,2023-03-08 20:00:43.526208
FRB20220912A,2023-03-10 19:56:17.261962
FRB20220912A,2023-03-11 19:50:38.458209
FRB20220912A,2023-03-12 19:41:58.161679
FRB20220912A,2023-03-14 19:34:38.386939
FRB20220912A,2023-03-15 19:36:49.122411
FRB20220912A,2023-03-16 19:29:49.654325
FRB20220912A,2023-03-17 19:20:28.479063
FRB20220912A,2023-03-18 19:21:39.186181
FRB20220912A,2023-03-25 18:59:27.411758
FRB20220912A,2023-03-27 18:54:06.962345
FRB20220912A,2023-03-28 18:43:12.256722
FRB20220912A,2023-03-29 18:38:01.678013
FRB20220912A,2023-04-04 18:17:03.679759
FRB20220912A,2023-04-06 18:10:08.064210
FRB20220912A,2023-04-07 18:02:39.749798
FRB20220912A,2023-04-14 17:32:02.192903
FRB20220912A,2023-04-17 17:28:00.039677
FRB20220912A,2023-04-18 17:23:59.500603
FRB20220912A,2023-04-19 17:20:48.239357
FRB20220912A,2023-04-27 16:45:24.421217
FRB20220912A,2023-04-29 16:30:56.764554
FRB20220912A,2023-04-30 16:32:43.136363
FRB20220912A,2023-05-02 16:21:01.023636
FRB20220912A,2023-05-03 16:29:00.439465
FRB20220912A,2023-05-04 16:16:03.978439
FRB20220912A,2023-05-05 16:11:33.020172
FRB20220912A,2023-05-10 15:55:26.128571
FRB20220912A,2023-05-12 15:53:27.013616
