repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20201130A,FRB20210220E,59265.0960505825,13,14.957965718997002,1.1748725335626746,Catalog 2023,
FRB20201130A,FRB20210228B,59273.0691076135,13,7.973057030998461,0.9016248705977277,Catalog 2023,
FRB20201130A,FRB20210228B,59273.0691078166,13,2.0310108084231615e-07,-6.6922877654056085,Catalog 2023,
FRB20201130A,FRB20210323E,59296.0108268262,13,22.941719009599183,1.36062595621621,Catalog 2023,
FRB20201130A,FRB20210327F,59300.0003231269,13,3.98949630070274,0.6009180667057235,Catalog 2023,
FRB20201130A,FRB20210406A,59310.9660720182,13,10.965748891299882,1.0400382965929247,Catalog 2023,
FRB20201221B,FRB20201221B,59204.424753173,8,,,Catalog 2023,
FRB20201221B,FRB20210224A,59269.2493669596,8,64.82461378660082,1.8117399380006216,Catalog 2023,
FRB20201221B,FRB20210224A,59269.2493679947,8,1.0350995580665767e-06,-5.985017876835529,Catalog 2023,
FRB20201221B,FRB20210224A,59269.2493683971,8,4.0239683585241437e-07,-6.395345442905507,Catalog 2023,
FRB20201221B,FRB20210226C,59271.2366317718,8,1.9872633746999782,0.29825542855869597,Catalog 2023,
FRB20201221B,FRB20210302E,59275.242110185,8,4.005478413200763,0.6026543955275073,Catalog 2023,
FRB20201221B,FRB20210303F,59276.2315756345,8,0.9894654495001305,-0.004599366039104675,Catalog 2023,
FRB20201221B,FRB20210313E,59286.2021125567,8,9.970536922199244,0.9987185460819359,Catalog 2023,
FRB20210323C,FRB20210323C,59296.1635511607,5,,,Catalog 2023,
FRB20210323C,FRB20210331F,59304.1477366081,5,7.9841854473997955,0.9022306156850106,Catalog 2023,
FRB20210323C,FRB20210331F,59304.1477367115,5,1.0339863365516067e-07,-6.985485200119685,Catalog 2023,
FRB20210323C,FRB20210426B,59330.0918348518,5,25.94409814030223,1.4140385784999108,Catalog 2023,
FRB20210323C,FRB20210426B,59330.0918360196,5,1.167798473034054e-06,-5.93263209695022,Catalog 2023,
FRB20121102A,,58441.40187191,9,,,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187206,9,1.500011421740055e-07,-6.823905434024456,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187229,9,2.3000029614195228e-07,-6.6382716047966115,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187191,9,-3.800014383159578e-07,,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187206,9,1.500011421740055e-07,-6.823905434024456,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187229,9,2.3000029614195228e-07,-6.6382716047966115,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187191,9,-3.800014383159578e-07,,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187206,9,1.500011421740055e-07,-6.823905434024456,Catalog 1,FRB20181119D
FRB20121102A,,58441.40187229,9,2.3000029614195228e-07,-6.6382716047966115,Catalog 1,FRB20181119D
FRB20180814A,,58344.617939757,53,,,Catalog 1,FRB20180814A
FRB20180814A,,58372.54116263,53,27.92322287299612,1.445965542718327,Catalog 1,FRB20180911C
FRB20180814A,,58378.032385833,53,5.491223203003756,0.7396690969351576,Catalog 1,FRB20180917A
FRB20180814A,,58378.03238603,53,1.9699655240401626e-07,-6.705541374269946,Catalog 1,FRB20180917A
FRB20180814A,,58378.03238633,53,3.00002284348011e-07,-6.522875438360475,Catalog 1,FRB20180917A
FRB20180814A,,58378.032385833,53,-4.969988367520273e-07,,Catalog 1,FRB20180917A
FRB20180814A,,58378.03238603,53,1.9699655240401626e-07,-6.705541374269946,Catalog 1,FRB20180917A
FRB20180814A,,58378.03238633,53,3.00002284348011e-07,-6.522875438360475,Catalog 1,FRB20180917A
FRB20180814A,,58378.032385833,53,-4.969988367520273e-07,,Catalog 1,FRB20180917A
FRB20180814A,,58378.03238603,53,1.9699655240401626e-07,-6.705541374269946,Catalog 1,FRB20180917A
FRB20180814A,,58378.03238633,53,3.00002284348011e-07,-6.522875438360475,Catalog 1,FRB20180917A
FRB20180814A,,58380.52513717,53,2.492750839999644,0.3966788712751219,Catalog 1,FRB20180919A
FRB20180814A,,58419.42539902,53,38.9002618500017,1.589952524709463,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539907,53,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20181028A
FRB20180814A,,58419.425399259,53,1.8900027498602867e-07,-6.7235375639493595,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539942,53,1.6099511412903666e-07,-6.793187303713467,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539954,53,1.2000236893072724e-07,-6.920810180590808,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539902,53,-5.199981387704611e-07,,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539907,53,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20181028A
FRB20180814A,,58419.425399259,53,1.8900027498602867e-07,-6.7235375639493595,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539942,53,1.6099511412903666e-07,-6.793187303713467,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539954,53,1.2000236893072724e-07,-6.920810180590808,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539902,53,-5.199981387704611e-07,,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539907,53,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20181028A
FRB20180814A,,58419.425399259,53,1.8900027498602867e-07,-6.7235375639493595,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539942,53,1.6099511412903666e-07,-6.793187303713467,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539954,53,1.2000236893072724e-07,-6.920810180590808,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539902,53,-5.199981387704611e-07,,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539907,53,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20181028A
FRB20180814A,,58419.425399259,53,1.8900027498602867e-07,-6.7235375639493595,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539942,53,1.6099511412903666e-07,-6.793187303713467,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539954,53,1.2000236893072724e-07,-6.920810180590808,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539902,53,-5.199981387704611e-07,,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539907,53,5.00003807246685e-08,-7.301026688744118,Catalog 1,FRB20181028A
FRB20180814A,,58419.425399259,53,1.8900027498602867e-07,-6.7235375639493595,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539942,53,1.6099511412903666e-07,-6.793187303713467,Catalog 1,FRB20181028A
FRB20180814A,,58419.42539954,53,1.2000236893072724e-07,-6.920810180590808,Catalog 1,FRB20181028A
FRB20180814A,,58440.364464051,53,20.93906451100338,1.320957274917582,Catalog 1,FRB20181118C
FRB20180814A,,58442.35102095,53,1.9865568989989697,0.2981010086400047,Catalog 1,FRB20181120C
FRB20180814A,,58620.85667787,53,178.5056569199951,2.251651983642666,Catalog 1,FRB20190517B
FRB20180814A,,58645.786601484,53,24.929923613999563,1.3967209478150728,Catalog 1,FRB20190611A
FRB20180814A,,58645.7866016,53,1.1600059224292636e-07,-6.935539793469821,Catalog 1,FRB20190611A
FRB20180814A,,58645.786601484,53,-1.1600059224292636e-07,,Catalog 1,FRB20190611A
FRB20180814A,,58645.7866016,53,1.1600059224292636e-07,-6.935539793469821,Catalog 1,FRB20190611A
FRB20180814A,,58659.738735537,53,13.952133937003964,1.144640636727149,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735614,53,7.70014594309032e-08,-7.113501043440746,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735853,53,2.390006557106972e-07,-6.621600907540787,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735537,53,-3.1600211514160037e-07,,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735614,53,7.70014594309032e-08,-7.113501043440746,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735853,53,2.390006557106972e-07,-6.621600907540787,Catalog 1,FRB20190625E
FRB20180814A,,58659.738735537,53,-3.1600211514160037e-07,,Catalog 1,FRB20190625E
